A,B,C,D,E
"2011/07/21","10010.39","10019.94","10026.18","9974.00"
"2011/07/22","10132.11","10096.89","10149.18","10076.53"
"2011/07/25","10050.01","10080.82","10091.02","10039.10"
"2011/07/26","10097.72","10078.48","10130.25","10043.99"
"2011/07/27","10047.19","10048.34","10053.50","10009.37"
"2011/07/28","9901.35","9936.97","9945.98","9853.85"
"2011/07/29","9833.03","9866.82","9914.22","9824.34"
"2011/08/01","9965.01","9907.04","10040.13","9906.17"
"2011/08/02","9844.59","9872.17","9873.46","9822.30"
"2011/08/03","9637.14","9705.02","9705.02","9610.38"
"2011/08/04","9659.18","9685.50","9768.40","9615.35"
"2011/08/05","9299.88","9469.16","9469.16","9264.09"
"2011/08/08","9097.56","9169.67","9215.09","9057.29"
"2011/08/09","8944.48","8911.80","8949.97","8656.79"
"2011/08/10","9038.74","9110.81","9144.33","9021.36"
"2011/08/11","8981.94","8876.54","8983.33","8832.42"
"2011/08/12","8963.72","9064.17","9070.27","8926.89"
"2011/08/15","9086.41","9082.53","9117.11","9032.84"
"2011/08/16","9107.43","9135.06","9150.31","9072.53"
"2011/08/17","9057.26","9047.89","9081.80","9003.70"
"2011/08/18","8943.76","9043.18","9043.18","8931.25"
"2011/08/19","8719.24","8771.70","8796.42","8707.47"
"2011/08/22","8628.13","8686.91","8756.10","8619.21"
"2011/08/23","8733.01","8703.31","8747.41","8630.49"
"2011/08/24","8639.61","8812.16","8825.27","8620.89"
"2011/08/25","8772.36","8748.01","8849.94","8741.74"
"2011/08/26","8797.78","8746.77","8805.10","8742.46"
"2011/08/29","8851.35","8802.25","8926.27","8751.29"
"2011/08/30","8953.90","8958.50","8992.86","8935.85"
"2011/08/31","8955.20","8938.31","8967.80","8905.52"
"2011/09/01","9060.80","9017.01","9098.15","8998.01"
"2011/09/02","8950.74","8980.56","9014.27","8914.65"
"2011/09/05","8784.46","8828.46","8842.56","8757.18"
"2011/09/06","8590.57","8687.11","8709.92","8588.34"
"2011/09/07","8763.41","8723.05","8773.26","8702.78"
"2011/09/08","8793.12","8863.24","8876.49","8757.58"
"2011/09/09","8737.66","8739.49","8803.75","8726.25"
"2011/09/12","8535.67","8578.71","8584.05","8520.97"
"2011/09/13","8616.55","8588.74","8635.88","8549.06"
"2011/09/14","8518.57","8623.55","8671.24","8499.34"
"2011/09/15","8668.86","8645.38","8695.95","8634.02"
"2011/09/16","8864.16","8785.28","8864.16","8774.16"
"2011/09/20","8721.24","8763.61","8771.72","8704.23"
"2011/09/21","8741.16","8717.00","8771.62","8707.16"
"2011/09/22","8560.26","8643.02","8643.02","8545.46"
"2011/09/26","8374.13","8547.62","8556.66","8359.70"
"2011/09/27","8609.95","8496.33","8609.95","8479.05"
"2011/09/28","8615.65","8607.92","8665.54","8595.85"
"2011/09/29","8701.23","8527.64","8706.14","8501.42"
"2011/09/30","8700.29","8713.91","8756.00","8653.62"
"2011/10/03","8545.48","8567.98","8577.52","8455.67"
"2011/10/04","8456.12","8426.39","8470.76","8359.24"
"2011/10/05","8382.98","8491.43","8501.03","8343.01"
"2011/10/06","8522.02","8463.83","8545.79","8463.83"
"2011/10/07","8605.62","8593.22","8663.57","8589.36"
"2011/10/11","8773.68","8733.54","8806.44","8725.62"
"2011/10/12","8738.90","8719.67","8763.02","8689.38"
"2011/10/13","8823.25","8832.81","8854.16","8808.73"
"2011/10/14","8747.96","8782.91","8787.89","8733.71"
"2011/10/17","8879.60","8881.44","8911.70","8856.58"
"2011/10/18","8741.91","8758.74","8773.99","8727.39"
"2011/10/19","8772.54","8808.25","8831.55","8745.36"
"2011/10/20","8682.15","8733.60","8733.60","8672.21"
"2011/10/21","8678.89","8679.04","8700.49","8652.26"
"2011/10/24","8843.98","8764.92","8844.28","8762.02"
"2011/10/25","8762.31","8866.43","8870.37","8755.38"
"2011/10/26","8748.47","8673.85","8798.80","8642.56"
"2011/10/27","8926.54","8779.40","8926.54","8731.77"
"2011/10/28","9050.47","9059.04","9086.43","9003.09"
"2011/10/31","8988.39","9011.18","9152.39","8988.39"
"2011/11/01","8835.52","8880.75","8946.00","8831.69"
"2011/11/02","8640.42","8719.92","8719.92","8640.42"
"2011/11/04","8801.40","8761.27","8814.71","8729.08"
"2011/11/07","8767.09","8771.82","8779.55","8741.25"
"2011/11/08","8655.51","8744.36","8772.04","8644.00"
"2011/11/09","8755.44","8724.60","8762.98","8678.78"
"2011/11/10","8500.80","8597.28","8600.21","8500.67"
"2011/11/11","8514.47","8545.92","8566.49","8485.77"
"2011/11/14","8603.70","8631.28","8655.31","8595.43"
"2011/11/15","8541.93","8546.99","8584.30","8527.63"
"2011/11/16","8463.16","8546.75","8567.64","8459.30"
"2011/11/17","8479.63","8421.88","8491.82","8400.22"
"2011/11/18","8374.91","8374.16","8398.80","8359.60"
"2011/11/21","8348.27","8349.05","8375.60","8343.93"
"2011/11/22","8314.74","8263.86","8350.35","8261.01"
"2011/11/24","8165.18","8189.42","8212.95","8157.39"
"2011/11/25","8160.01","8138.19","8199.67","8135.79"
"2011/11/28","8287.49","8269.91","8322.01","8259.71"
"2011/11/29","8477.82","8371.01","8477.82","8351.38"
"2011/11/30","8434.61","8407.63","8435.34","8361.69"
"2011/12/01","8597.38","8581.20","8653.88","8577.09"
"2011/12/02","8643.75","8603.23","8643.75","8591.93"
"2011/12/05","8695.98","8697.78","8704.48","8668.04"
"2011/12/06","8575.16","8644.97","8671.54","8571.09"
"2011/12/07","8722.17","8629.19","8729.81","8614.21"
"2011/12/08","8664.58","8664.35","8688.81","8625.19"
"2011/12/09","8536.46","8521.33","8576.68","8503.03"
"2011/12/12","8653.82","8652.98","8682.47","8633.35"
"2011/12/13","8552.81","8535.52","8594.32","8518.80"
"2011/12/14","8519.13","8513.77","8540.57","8486.37"
"2011/12/15","8377.37","8449.05","8455.32","8374.25"
"2011/12/16","8401.72","8416.21","8433.18","8390.98"
"2011/12/19","8296.12","8363.39","8364.93","8272.26"
"2011/12/20","8336.48","8318.03","8354.90","8317.73"
"2011/12/21","8459.98","8442.74","8471.11","8440.89"
"2011/12/22","8395.16","8429.54","8436.59","8383.96"
"2011/12/26","8479.34","8504.46","8516.53","8477.37"
"2011/12/27","8440.56","8443.00","8458.26","8428.53"
"2011/12/28","8423.62","8426.09","8456.66","8414.90"
"2011/12/29","8398.89","8367.71","8404.89","8330.87"
"2011/12/30","8455.35","8434.90","8455.35","8415.56"
"2012/01/04","8560.11","8549.54","8581.45","8547.70"
"2012/01/05","8488.71","8515.66","8519.16","8481.83"
"2012/01/06","8390.35","8488.98","8488.98","8349.33"
"2012/01/10","8422.26","8422.99","8450.59","8405.18"
"2012/01/11","8447.88","8440.96","8463.72","8426.03"
"2012/01/12","8385.59","8423.10","8426.83","8360.33"
"2012/01/13","8500.02","8471.10","8509.76","8458.68"
"2012/01/16","8378.36","8409.79","8409.79","8352.23"
"2012/01/17","8466.40","8420.12","8475.66","8413.22"
"2012/01/18","8550.58","8458.29","8595.78","8446.09"
"2012/01/19","8639.68","8596.68","8668.94","8596.68"
"2012/01/20","8766.36","8751.18","8791.39","8725.32"
"2012/01/23","8765.90","8753.91","8795.27","8744.54"
"2012/01/24","8785.33","8815.36","8825.09","8768.51"
"2012/01/25","8883.69","8842.01","8911.62","8816.09"
"2012/01/26","8849.47","8890.49","8894.60","8834.93"
"2012/01/27","8841.22","8851.02","8886.02","8810.89"
"2012/01/30","8793.05","8803.79","8832.48","8774.23"
"2012/01/31","8802.51","8781.44","8836.68","8776.65"
"2012/02/01","8809.79","8789.06","8830.28","8780.10"
"2012/02/02","8876.82","8865.28","8893.22","8849.25"
"2012/02/03","8831.93","8849.17","8877.57","8825.98"
"2012/02/06","8929.20","8939.99","8949.32","8916.94"
"2012/02/07","8917.52","8904.16","8928.44","8887.19"
"2012/02/08","9015.59","8971.88","9015.59","8956.78"
"2012/02/09","9002.24","8996.13","9018.49","8942.87"
"2012/02/10","8947.17","9010.53","9016.97","8947.17"
"2012/02/13","8999.18","8954.03","9023.50","8948.54"
"2012/02/14","9052.07","8978.72","9072.08","8972.74"
